id,id_parte_legado,tipo_parte,tipo_polo,id_pessoa,id_processo
1,2,ATIVO,A,1,81
2,3,ATIVO,A,1,82
3,4,ATIVO,A,1,281
4,5,ATIVO,A,1,282
5,6,ATIVO,A,1,283
6,7,ATIVO,A,1,321
7,8,ATIVO,A,1,401
8,9,ATIVO,A,1,402
9,10,ATIVO,A,1,261
10,11,ATIVO,A,1,421
11,12,ATIVO,A,1,61
12,13,ATIVO,A,1,121
13,14,ATIVO,A,1,122
14,15,ATIVO,A,1,141
15,16,ATIVO,A,1,301
16,17,ATIVO,A,1,922
17,18,ATIVO,A,1,923
18,19,ATIVO,A,1,924
19,20,ATIVO,A,1,925
20,21,ATIVO,A,1,926
21,22,ATIVO,A,1,927
22,23,ATIVO,A,1,928
23,24,ATIVO,A,1,929
24,25,ATIVO,A,1,930
25,26,ATIVO,A,1,931
26,27,ATIVO,A,1,932
27,28,ATIVO,A,1,933
28,29,ATIVO,A,1,934
29,30,ATIVO,A,1,1001
30,31,ATIVO,A,1,1002
31,32,ATIVO,A,1,101
32,33,ATIVO,A,1,161
33,34,ATIVO,A,1,162
34,35,ATIVO,A,1,381
35,36,ATIVO,A,1,382
36,37,ATIVO,A,1,383
37,38,ATIVO,A,1,921
38,39,ATIVO,A,1,1021
39,40,ATIVO,A,1,1022
40,41,ATIVO,A,1,1023
41,42,ATIVO,A,1,1024
42,43,ATIVO,A,1,1025
43,44,ATIVO,A,1,361
44,45,ATIVO,A,1,501
45,46,ATIVO,A,1,1003
46,47,ATIVO,A,1,1005
47,48,ATIVO,A,1,9978
48,49,ATIVO,A,1,11510
49,50,ATIVO,A,1,11054
50,51,ATIVO,A,1,18894
51,52,ATIVO,A,1,16468
52,53,ATIVO,A,1,14075
53,54,ATIVO,A,1,18338
54,55,ATIVO,A,1,13239
55,56,ATIVO,A,1,22756
56,57,ATIVO,A,1,14110
57,58,ATIVO,A,1,14426
58,59,ATIVO,A,1,17131
59,60,ATIVO,A,1,17893
60,61,ATIVO,A,1,14721
61,62,ATIVO,A,1,18022
62,63,ATIVO,A,1,22505
63,64,ATIVO,A,1,15594
64,65,ATIVO,A,1,21198
65,66,ATIVO,A,1,21725
66,67,ATIVO,A,1,16572
67,68,ATIVO,A,1,12369
68,69,ATIVO,A,1,17242
69,70,ATIVO,A,1,19302
70,71,ATIVO,A,1,25648
71,72,ATIVO,A,1,35207
72,73,ATIVO,A,1,1004
73,74,ATIVO,A,1,43557
74,75,ATIVO,A,1,45121
75,76,ATIVO,A,1,45619
76,77,ATIVO,A,1,42496
77,78,ATIVO,A,1,44831
