ID,ASSUNTO_PRINCIPAL,DATA_ENTRADA,DT_DISTRIBUICAO,CLASSE_JUDICIAL,ID_PROCESSO_SISTEMA_LEGADO,INSTANCIA,JUSTICA_GRATUITA,NUMERO_PROCESSO,ORGAO_JULGADOR_STR,POSSUI_LIMINAR,PRIORIDADE,SEGREDO_JUSTICA,SISTEMA,TAREFAENUM,VL_CAUSA,ID_CAIXA,DATA_SINCRONIZACAO,ERRO_SINCRONIZACAO,MOTIVO_SEGREDO_JUSTICA
81,Adicional de Periculosidade,2018-03-26 16:01:07,2015-05-22 18:37:37,12078,43320,1,1,7010129-74.2015.8.22.0601,PJEPG-8,0,0,0,PJEPG,NaoConcluso,21746.63,1,2018-08-07 16:00:54,0,
82,Adicional de Periculosidade,2018-03-26 20:08:08,2015-07-10 18:02:19,1114,53902,1,1,7013864-18.2015.8.22.0601,PJEPG-8,1,0,0,PJEPG,NaoConcluso,12701.04,1,2018-08-07 16:00:54,0,
281,Adicional de Horas Extras,2018-04-13 11:18:52,2016-12-06 21:23:13,436,361357,1,1,7062006-73.2016.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,2032.78,1,2018-08-07 16:00:54,0,
282,Índice da URP abril e maio/1988 DL 2.425/1988,2018-04-13 11:19:24,2017-04-18 11:48:39,436,440952,1,0,7015616-11.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,6675.38,1,2018-08-07 16:00:54,0,
283,Adicional de Horas Extras,2018-04-13 11:19:30,2017-05-11 04:05:34,436,457832,1,1,7019600-03.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,2789.27,1,2018-08-07 16:00:54,0,
321,Rescisão / Resolução,2018-04-17 10:13:59,2017-07-03 20:21:41,436,497732,1,1,7029075-80.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,7610.96,1,2018-08-07 16:00:54,0,
401,Adicional de Insalubridade,2018-04-30 07:13:27,2016-08-02 13:02:42,436,279719,1,1,7039727-93.2016.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,24202.73,1,2018-08-07 16:00:54,0,
402,Empregado Público / Temporário,2018-04-30 07:13:58,2015-11-06 12:29:37,436,107398,1,1,7020827-96.2015.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,12282.42,1,2018-08-07 16:00:54,0,
261,Adicional por Tempo de Serviço,2018-04-13 08:21:11,2016-09-08 21:47:07,436,303891,1,1,7046675-51.2016.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,3052.36,1,2018-08-07 16:00:54,0,
421,Abono de Permanência,2018-04-30 07:59:24,2017-01-18 06:17:50,436,375534,1,1,0000085-04.2017.8.22.0001,PJEPG-8,1,0,0,PJEPG,NaoConcluso,12000,1,2018-08-07 16:00:54,0,
61,Adicional de Insalubridade,2018-03-26 13:06:16,2017-05-17 16:57:09,12078,462616,1,1,7020665-33.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,12867.47,1,2018-08-07 16:00:54,0,
121,Concessão / Permissão / Autorização,2018-03-27 12:37:33,2016-11-20 19:54:24,436,287421,1,1,7041763-11.2016.8.22.0001,PJEPG-8,1,0,0,PJEPG,NaoConcluso,880,1,2018-08-07 16:00:54,0,
122,Contribuições Previdenciárias,2018-04-02 10:01:14,2016-11-16 12:19:52,436,348328,1,0,7058633-34.2016.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,3174.98,1,2018-08-07 16:00:54,0,
141,Adicional de Periculosidade,2018-04-04 12:40:46,2015-04-08 06:01:48,12078,33746,1,0,7006744-21.2015.8.22.0601,PJEPG-8,0,0,0,PJEPG,NaoConcluso,9360.36,1,2018-08-07 16:00:54,0,
301,FGTS/Fundo de Garantia Por Tempo de Serviço,2018-04-17 08:31:22,2017-07-12 08:03:20,7,484780,1,0,7025869-58.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,2279.88,32,2018-10-08 06:40:55,338,
922,Auxílio-transporte,2018-11-20 17:41:07,2016-11-01 09:44:33,436,338981,1,1,7056320-03.2016.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,8862.07,262,2018-11-27 07:43:29,0,
923,Auxílio-transporte,2018-10-29 15:37:43,2017-01-13 15:27:34,436,379331,1,1,7000686-85.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,7920,262,2018-11-21 13:48:48,0,
924,Auxílio-transporte,2018-05-29 09:16:27,2016-08-04 04:45:47,436,280674,1,1,7040029-25.2016.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,18800.31,32,2018-10-08 06:41:17,338,
925,Auxílio-transporte,2018-11-05 07:39:56,2017-01-23 22:03:47,436,383862,1,1,7001935-71.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,7920,262,2018-11-28 05:55:31,0,
926,Auxílio-transporte,2018-05-29 09:17:57,2017-01-24 10:37:51,436,384189,1,1,7001986-82.2017.8.22.0001,PJEPG-8,1,0,0,PJEPG,NaoConcluso,5081.18,32,2018-10-08 06:41:21,338,
927,Auxílio-transporte,2018-05-29 09:17:59,2017-01-24 10:46:29,436,384195,1,1,7001987-67.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,6150.63,32,2018-10-08 06:41:22,338,
928,Auxílio-transporte,2018-05-29 09:18:39,2017-03-20 19:55:42,436,419374,1,1,7010730-66.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,5854.42,32,2018-10-08 06:41:28,338,
929,Auxílio-transporte,2018-05-29 09:18:42,2017-06-14 04:02:18,436,484128,1,1,7025752-67.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,13186.57,32,2018-10-08 06:41:29,338,
930,Auxílio-transporte,2018-05-29 09:18:48,2017-08-23 12:48:06,436,535435,1,1,7037711-35.2017.8.22.0001,PJEPG-8,1,0,0,PJEPG,NaoConcluso,100,32,2018-10-08 06:41:47,338,
931,Auxílio-transporte,2018-11-23 10:45:02,2017-08-23 17:31:47,436,535497,1,1,7037735-63.2017.8.22.0001,PJEPG-8,1,0,0,PJEPG,Minutar,22571.8,225,2018-11-30 05:31:00,0,
932,Auxílio-transporte,2018-11-08 11:25:22,2017-10-06 09:45:32,436,567103,1,1,7043987-82.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,9360,262,2018-11-27 10:23:27,0,
933,Auxílio-transporte,2018-05-29 09:20:49,2017-11-06 06:54:18,436,586190,1,0,7047902-42.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,7008.8,32,2018-10-08 06:41:55,338,
934,Auxílio-transporte,2018-11-23 10:15:00,2017-11-15 08:29:56,436,592231,1,1,7049249-13.2017.8.22.0001,PJEPG-8,1,0,0,PJEPG,NaoConcluso,11896.67,262,2018-11-27 07:40:22,0,
1001,Pecúlios (Art. 81/5),2018-11-08 12:17:08,2017-09-27 08:46:41,436,560308,1,1,7042666-12.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,8298.58,262,2018-11-28 06:31:24,0,
1002,Pecúlios (Art. 81/5),2018-06-07 08:35:21,2017-09-28 05:09:53,436,561648,1,1,7042972-78.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,5141.28,32,2018-10-08 06:42:16,0,
101,Piso Salarial,2018-03-27 12:39:30,2017-07-12 11:27:34,436,503807,1,1,7030663-25.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,6909.77,1,2018-08-07 16:00:54,0,
161,classe,2018-04-04 11:45:01,2016-08-19 04:05:48,436,278564,1,1,7039495-81.2016.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,36000,1,2018-08-07 16:00:54,0,
162,Adicional de Insalubridade,2018-04-04 11:46:01,2016-12-13 05:27:16,436,352266,1,1,7059596-42.2016.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,49454.88,1,2018-08-07 16:00:54,0,
381,Sistema Remuneratório e Benefícios,2018-04-24 08:35:31,2017-10-16 13:04:59,436,572780,1,1,7045181-20.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,5630.34,32,2018-08-07 16:00:54,0,
382,Sistema Remuneratório e Benefícios,2018-04-24 08:35:31,2017-10-16 13:17:55,436,572803,1,1,7045185-57.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,4485.79,32,2018-08-07 16:00:54,0,
383,Sistema Remuneratório e Benefícios,2018-04-24 08:35:31,2017-10-16 13:40:58,436,572841,1,1,7045190-79.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,4986.76,32,2018-08-07 16:00:54,0,
921,Passe livre em transporte,2018-05-29 09:15:02,2016-08-18 04:57:11,241,62473,1,1,7003681-42.2015.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,11505.77,32,2018-10-08 06:42:20,338,
1021,Pecúlios (Art. 81/5),2018-11-08 12:15:20,2017-09-27 10:35:14,436,560647,1,1,7042711-16.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,8383.51,262,2018-11-27 02:33:16,0,
1022,Pecúlios (Art. 81/5),2018-11-05 09:29:08,2017-09-27 11:37:18,436,560838,1,1,7042748-43.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,15696.96,262,2018-11-23 06:59:34,0,
1023,Pecúlios (Art. 81/5),2018-11-08 12:13:23,2017-09-28 08:46:51,436,561600,1,1,7042961-49.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,5941.5,262,2018-11-28 06:24:44,0,
1024,Pecúlios (Art. 81/5),2018-11-08 12:18:08,2017-09-28 08:58:04,436,561626,1,1,7042966-71.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,16030.83,262,2018-11-27 11:44:53,0,
1025,Pecúlios (Art. 81/5),2018-06-07 08:41:32,2017-09-27 07:24:16,436,560804,1,1,7042739-81.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,16590.86,32,2018-10-08 09:18:04,0,
361,Empregado Público / Temporário,2018-04-18 16:44:55,2017-07-24 16:34:56,436,510442,1,1,7032263-81.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,21859.57,1,2018-08-07 16:00:54,0,
501,Adicional de Insalubridade,2018-05-08 10:53:48,2018-02-08 08:37:38,436,640796,1,1,7004923-31.2018.8.22.0001,PJEPG-8,0,0,0,PJEPG,Minutar,8143.12,66,2018-11-30 06:32:00,0,
1003,Pecúlios (Art. 81/5),2018-11-08 12:21:10,2017-09-28 09:38:20,436,561698,1,1,7042986-62.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,16674.37,262,2018-11-27 11:48:29,0,
1005,Pecúlios (Art. 81/5),2018-11-08 12:50:31,2017-09-28 10:27:36,436,561844,1,1,7043013-45.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,8908.87,262,2018-11-28 07:23:17,0,
9978,Cessão de créditos não-tributários,2018-11-09 11:36:35,2018-11-09 10:59:25,64,748943,1,0,7029778-74.2018.8.22.0001,PJEPG-8,0,0,0,PJEPG,Minutar,60000,223,2018-11-30 03:34:53,0,
11510,Base de Cálculo,2018-11-16 10:46:05,2018-08-06 10:22:14,436,738874,1,1,7030570-28.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,Minutar,21590.53,223,2018-11-30 09:55:53,0,
11054,Licenciamento de Veículo,2018-11-20 18:34:41,2018-08-02 16:54:46,436,751686,1,0,7030378-95.2018.8.22.0001,PJEPG-8,1,1,0,PJEPG,Minutar,8235.38,1,2018-11-30 12:38:26,0,
18894,Readaptação,2018-10-29 09:23:32,2018-08-21 11:25:37,436,763606,1,1,7033121-78.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,Minutar,2000,223,2018-11-30 10:30:05,0,
16468,Irredutibilidade de Vencimentos,2018-10-15 09:07:23,2018-09-12 13:01:31,436,759873,1,1,7032213-21.2018.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,13000,223,2018-11-28 07:46:43,0,
14075,Multas e demais Sanções,2018-10-30 15:34:28,2018-08-15 09:40:28,436,756299,1,1,7031401-76.2018.8.22.0001,PJEPG-8,0,0,0,PJEPG,Minutar,293.47,261,2018-11-30 10:33:16,0,
18338,Antecipação de Tutela / Tutela Específica,2018-11-05 15:38:43,2018-08-30 07:52:03,436,762775,1,0,7032947-69.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,NaoConcluso,10000,301,2018-11-20 13:45:29,0,
13239,Adicional de Insalubridade,2018-11-01 11:29:54,2018-08-15 08:19:42,436,742000,1,1,7028224-07.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,Minutar,61341.24,261,2018-11-30 10:03:38,0,
22756,Acidente de Trânsito,2018-11-23 07:59:50,2018-08-28 11:33:15,436,768593,1,1,7034498-84.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,Minutar,17887.61,261,2018-11-30 12:38:45,0,
14110,Adicional de Insalubridade,2018-11-05 16:57:46,2018-09-17 07:41:57,436,756396,1,1,7031412-08.2018.8.22.0001,PJEPG-8,0,0,0,PJEPG,Minutar,1000,224,2018-11-30 12:01:59,0,
14426,DIREITO DO CONSUMIDOR,2018-10-11 12:23:53,2018-08-27 17:07:06,436,685314,1,1,7015444-35.2018.8.22.0001,PJEPG-8,0,0,0,PJEPG,Minutar,35000,62,2018-11-30 04:31:23,0,
17131,Obrigação de Fazer / Não Fazer,2018-11-08 09:38:00,2018-08-21 09:01:15,436,760818,1,1,7032440-11.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,Minutar,1000,261,2018-11-30 04:20:51,0,
17893,Classificação e/ou Preterição,2018-11-09 18:50:56,2018-08-20 08:00:33,436,761883,1,0,7032740-70.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,Minutar,28800,261,2018-11-30 04:31:48,0,
14721,Indenização por Dano Moral,2018-10-29 09:11:37,2018-08-14 10:45:41,436,757204,1,1,7031588-84.2018.8.22.0001,PJEPG-8,0,0,0,PJEPG,Minutar,10729.62,261,2018-11-30 10:41:34,0,
18022,Indenização por Dano Material,2018-10-22 09:22:36,2018-08-20 11:04:06,436,762110,1,1,7032786-59.2018.8.22.0001,PJEPG-8,0,0,0,PJEPG,Minutar,43580,261,2018-11-30 10:44:03,0,
22505,Obrigação de Fazer / Não Fazer,2018-10-04 08:39:37,2018-08-31 08:07:32,436,768393,1,1,7034456-35.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,Minutar,12106.73,62,2018-11-30 10:16:05,0,
15594,Abono Pecuniário (Art. 78 Lei 8.112/1990),2018-10-19 10:28:19,2018-08-15 12:58:22,436,758548,1,1,7031882-39.2018.8.22.0001,PJEPG-8,0,0,0,PJEPG,Minutar,10117.5,261,2018-11-30 10:44:11,0,
21198,Plano de Classificação de Cargos,2018-11-13 10:03:33,2018-08-27 16:31:25,436,766812,1,0,7033955-81.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,Minutar,954,261,2018-11-30 07:15:58,0,
21725,Classificação e/ou Preterição,2018-11-01 09:55:30,2018-08-27 11:22:47,436,767590,1,1,7034165-35.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,NaoConcluso,1000,301,2018-11-14 15:17:46,0,
16572,Prazo de Validade,2018-11-07 11:05:56,2018-08-23 16:53:54,436,745840,1,1,7029158-62.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,NaoConcluso,10345.2,301,2018-11-20 13:48:40,0,
12369,,2018-10-11 12:15:56,2018-08-08 16:22:34,436,617238,1,1,7054249-91.2017.8.22.0001,PJEPG-8,0,0,0,PJEPG,Minutar,36212.46,261,2018-11-30 04:24:07,0,
17242,Obrigação de Fazer / Não Fazer,2018-11-08 14:08:35,2018-08-16 09:53:05,436,760988,1,1,7032474-83.2018.8.22.0001,PJEPG-8,1,0,0,PJEPG,Minutar,25908.95,261,2018-11-30 12:02:17,0,
19302,Liminar,2018-10-30 12:11:54,2018-08-21 11:18:07,436,764166,1,1,7033246-46.2018.8.22.0001,PJEPG-8,1,1,0,PJEPG,NaoConcluso,5000,301,2018-10-31 17:19:39,0,
25648,Arrolamento de Bens,2018-10-03 11:19:06,2018-10-03 08:07:21,436,772321,1,0,7035363-10.2018.8.22.0001,PJEPG-8,0,0,0,PJEPG,NaoConcluso,29651.06,223,2018-11-23 04:41:28,278,
35207,Obrigação de Fazer / Não Fazer,2018-11-22 08:00:28,2018-09-10 09:00:02,436,775890,1,0,7036243-02.2018.8.22.0001,PJEPG-8,0,0,0,PJEPG,Minutar,7200,223,2018-11-30 12:39:27,0,
